Date,"LNG 174K CBM (2-stroke dual fuel) Spot Rate (avg., $/day)",LNG Shipping Capacity (CBM),"LNG Carrier Newbuilding Prices (end month, $m)","LNG Orderbook (start month, CBM)","Global price of Natural Gas, Asia (start month, MMBTU)","Global price of Natural Gas, EU (start month, MMBTU)","Global price of Natural Gas, US Henry Hub (start month, MMBTU)","Spread
EU-US","Spread
ASIA-US","Spread
ASIA-EU"
Jan-2019,91358.125,69843618,184,20754659,8.285652174,7.161064953,3.108695652,4.052369301,5.176956522,1.124587221
Feb-2019,68721.75,70711428,185,20634205,6.501,5.98633856,2.6795,3.30683856,3.8215,0.51466144
Mar-2019,48349.9,71241828,185,21336426,5.245238095,5.197180073,2.803333333,2.39384674,2.441904762,0.048058022
Apr-2019,48500,71939628,185,20995107,5.079761905,4.95324985,2.597272727,2.355977123,2.482489177,0.126512055
May-2019,64600,72450028,185.5,21169438,5.03326087,4.360182888,2.59173913,1.768443757,2.441521739,0.673077982
Jun-2019,69625,73140028,185.5,21059141,4.38925,3.483036,2.33,1.153036,2.05925,0.906214
Jul-2019,66250,73313428,185.5,21237741,4.419347826,3.595943909,2.302173913,1.293769996,2.117173913,0.823403917
Aug-2019,75500,74548238,185.5,20355502,4.280227273,3.270196677,2.173636364,1.096560313,2.106590909,1.010030596
Sep-2019,82500,74886638,185.5,20550999,5.05452381,3.086804586,2.507142857,0.579661729,2.547380952,1.967719223
Oct-2019,127500,75762438,186,19870645,6.017391304,3.339724246,2.340869565,0.998854681,3.676521739,2.677667059
Nov-2019,132400,75762438,186,20566645,5.456428571,4.781019523,2.625238095,2.155781428,2.831190476,0.675409048
Dec-2019,109375,76281838,186,20709850,5.573409091,4.243548744,2.282727273,1.960821471,3.290681818,1.329860347
Jan-2020,92400,76436838,186,22492237,4.913695652,3.626269711,2.033913043,1.592356667,2.879782609,1.287425941
Feb-2020,62250,76610838,186,22441812,2.92025,2.995477203,1.845,1.150477203,1.07525,-0.075227203
Mar-2020,50375,77132238,186,21920526,3.278863636,2.789823671,1.733181818,1.056641853,1.545681818,0.489039966
Apr-2020,50375,77132238,186,21920526,2.126363636,2.083882202,1.763636364,0.320245839,0.362727273,0.042481434
May-2020,40200,77486238,186,21547926,2.032142857,1.46261232,1.809047619,-0.346435299,0.223095238,0.569530537
Jun-2020,40750,78361038,186,20673012,2.050454545,1.647299982,1.699545455,-0.052245472,0.350909091,0.403154563
Jul-2020,40200,78715038,186,20668032,2.286956522,1.640862822,1.764782609,-0.123919787,0.522173913,0.6460937
Aug-2020,55000,79416438,186,20662403,3.625714286,2.611565546,2.34047619,0.271089356,1.285238095,1.01414874
Sep-2020,65375,79763838,186,22215003,4.609772727,3.854995574,2.285,1.569995574,2.324772727,0.754777153
Oct-2020,91100,80458638,186,21510423,6.121818182,4.813821635,2.829090909,1.984730726,3.292727273,1.307996547
Nov-2020,123750,81334038,186,22015599,6.822142857,4.783507944,2.87047619,1.913031753,3.951666667,2.038634913
Dec-2020,147500,81856038,186,21667599,11.60891304,5.828639183,2.584782609,3.243856574,9.024130435,5.780273861
Jan-2021,176000,82030038,186.5,25147599,20.4152381,7.302820662,2.649047619,4.653773043,17.76619048,13.11241743
Feb-2021,66125,83779638,187.5,23568140,7.16875,6.171340829,2.917,3.254340829,4.25175,0.997409171
Mar-2021,43750,84481638,188,22843518,6.443478261,6.205197385,2.622173913,3.583023472,3.821304348,0.238280876
Apr-2021,66450,85351638,188,22043936,7.894130435,7.282723606,2.683636364,4.599087243,5.210494071,0.611406828
May-2021,78000,85525038,189,22428200,10.0145,9.004704035,2.961428571,6.043275464,7.053071429,1.009795965
Jun-2021,80500,86394438,190,22931271,12.01727273,10.32413911,3.272727273,7.051411841,8.744545455,1.693133614
Jul-2021,82700,87275838,195,22410971,14.09681818,12.5242466,3.809545455,8.71470115,10.28727273,1.572571577
Aug-2021,80750,87797838,198,25219074,16.64386364,15.27902912,4.032272727,11.24675639,12.61159091,1.36483452
Sep-2021,69187.5,88853838,202,24271945,24.06295455,22.23282724,5.096818182,17.13600906,18.96613636,1.830127302
Oct-2021,158400,89549838,203,25141945,35.0652381,29.81414289,5.571428571,24.24271432,29.49380952,5.251095207
Nov-2021,247812.5,90773238,205,25016092,31.96357143,27.38382608,5.119090909,22.26473517,26.84448052,4.579745347
Dec-2021,173750,90947238,210,26408092,37.41978261,37.36336306,3.85826087,33.50510219,33.56152174,0.056419546
Jan-2022,56937.5,91295238,214,27621393,26.82833333,27.89094479,4.233333333,23.65761146,22.595,-1.062611461
Feb-2022,42125,91817238,218,29690249,27.82325,26.98428134,4.475,22.50928134,23.34825,0.83896866
Mar-2022,70875,91817238,220,30923449,38.73586957,41.72768831,4.971304348,36.75638397,33.76456522,-2.991818748
Apr-2022,70600,92165238,224,33336844,29.0147619,31.9898743,6.744761905,25.2451124,22.27,-2.9751124
May-2022,90062.5,92339238,227,36643071,21.93772727,27.46416643,8.16,19.30416643,13.77772727,-5.526439159
Jun-2022,102250,92619198,231,38782113,29.53818182,32.91260722,7.570909091,25.34169813,21.96727273,-3.374425403
Jul-2022,75150,93574158,236,42002497,41.1695,51.14591252,7.109047619,44.0368649,34.06045238,-9.976412523
Aug-2022,106500,93948158,240,43924097,54.1575,69.97723933,8.777391304,61.19984802,45.3801087,-15.81973933
Sep-2022,221500,94296158,244,44781921,44.68227273,55.1791274,7.835,47.3441274,36.84727273,-10.49685467
Oct-2022,468125,94818158,248,47212395,29.742,20.80663685,6.093809524,14.71282733,23.64819048,8.935363148
Nov-2022,457812.5,95340158,248,49319696,25.21772727,28.79080462,6.478181818,22.3126228,18.73954545,-3.573077347
Dec-2022,259500,95514158,248,52362596,30.71714286,35.36873121,5.746818182,29.62191303,24.97032468,-4.651588357
Jan-2023,119937.5,95862158,248,53427397,20.68552632,19.88618693,3.471363636,16.41482329,17.21416268,0.799339385
Feb-2023,90000,96558158,250,52298496,15.9625,16.73725918,2.438,14.29925918,13.5245,-0.774759181
Mar-2023,83000,96986118,254,52392536,13.35043478,13.87044037,2.409130435,11.46130993,10.94130435,-0.520005587
Apr-2023,68750,97334118,256,53960447,12.01105263,13.68398726,2.1955,11.48848726,9.815552632,-1.672934632
May-2023,61812.5,97682118,259,54864310,9.900681818,9.970048913,2.315217391,7.654831522,7.585464427,-0.069367095
Jun-2023,80850,97682118,260,55206815,10.10725,10.2937317,2.479090909,7.814640786,7.628159091,-0.186481695
Jul-2023,92562.5,97856118,261,55719281,10.88119048,9.611719136,2.643809524,6.967909612,8.237380952,1.26947134
Aug-2023,137500,98558118,265,55509051,11.75295455,10.7174213,2.64826087,8.06916043,9.104693676,1.035533246
Sep-2023,232750,98906118,265,56379051,13.1515,11.42793016,2.70047619,8.727453967,10.45102381,1.723569843
Oct-2023,184375,99534078,265,55751091,15.29340909,13.38884281,3.166363636,10.22247917,12.12704545,1.904566281
Nov-2023,197500,100410078,265,58356120,15.41380952,13.71431567,3.055454545,10.65886112,12.35835498,1.699493855
Dec-2023,139750,100784078,265,58330120,13.05175,11.29629149,2.534761905,8.761529584,10.5169881,1.755458512
Jan-2024,69750,101480078,265,57686421,10.01681818,9.531191123,2.720434783,6.81075634,7.296383399,0.485627059
Feb-2024,52375,102008078,265,57506421,8.82225,8.098181356,1.793333333,6.304848023,7.028916667,0.724068644
Mar-2024,53950,102730078,264.5,57093950,8.99325,8.511035509,1.747142857,6.763892652,7.246107143,0.482214491
Apr-2024,47562.5,103251478,264,58131999,9.794,9.129581313,1.786818182,7.342763131,8.007181818,0.664418687
May-2024,50700,104059278,264,63275962,10.847,10.10962113,2.419130435,7.690490699,8.427869565,0.737378866
Jun-2024,63312.5,104581278,264,62927763,12.368,10.80662625,2.8195,7.987126248,9.5485,1.561373752
Jul-2024,75562.5,105451278,262.5,63823913,11.995,10.23979241,2.215217391,8.024575016,9.779782609,1.755207592
Aug-2024,76800,106147278,262,63005013,13.213,12.1938459,2.095,10.0988459,11.118,1.019154096
Sep-2024,67000,106849278,261.5,62295413,13.09,11.750812,2.400952381,9.349859616,10.68904762,1.339188003
Oct-2024,45312.5,108597278,261,62921714,13.113,12.755,2.574782609,10.18021739,10.53821739,0.358
Nov-2024,26600,109293278,260,62391876,14.025,13.811,2.992380952,10.81861905,11.03261905,0.214
Dec-2024,23000,110512278,260,61418876,14.225,13.757,3.450909091,10.30609091,10.77409091,0.468